match_type,pattern,primary_genre,genres,priority,notes,genre_status
album,Boards of Mongolia,dungeon synth,dungeon synth; ambient; experimental; synth,130,manual audit,
artist,BULLDOZER,speed metal,speed metal; black metal; thrash metal,130,manual audit,
lead_artist_id,0DiH2yz49jh3H1jYqXNs9Z,heavy metal,heavy metal; traditional heavy metal; nwobhm; hard rock; speed metal,130,Swedish Century rather than the French pop-rock namesake; the band's catalogue confirms heavy metal as primary while finer secondary tags remain legacy | https://centuryswe.bandcamp.com/album/the-conquest-of-time,
lead_artist_id,14kEabF9MiQJW37PNuLGgJ,psychedelic rock,psychedelic rock; indie psych rock; experimental rock,130,Legacy KATZROAR default; scoped to lead Spotify ID on 2026-09-22; release exceptions take precedence; not independently verified for every future recording,
artist,Meshuggah,progressive metal,progressive metal; djent; groove metal; technical metal; math metal; death metal,130,manual audit,
artist,Operation Ivy,ska punk,ska punk; punk rock; hardcore punk; ska,130,manual audit,
track,Party All the Time,synth-pop,synth-pop; funk; disco,130,manual audit,
artist,Sweven,progressive death metal,progressive death metal; psychedelic death metal; progressive metal; psychedelic rock,130,manual audit,
artist,Windows 96,vaporwave,vaporwave; synthwave; chillwave; electronic,130,manual audit,
artist,(Hed) P.E.,rapcore,rapcore; nu metal; rap metal; hard rock,130,manual audit,
album,With Sympathy,synth-pop,synth-pop; new wave; industrial,130,multi-track audit,
lead_artist_id,2kO6zjt4a1OIqxOERhliEX,gothic metal,gothic metal; doom metal; progressive rock; progressive metal,130,Legacy The Gathering default; scoped to lead Spotify ID on 2026-09-22; release exceptions take precedence; not independently verified for every future recording,
artist,Dolphin,alternative hip hop,alternative hip hop; alternative rock; electronic; trip hop,130,multi-track audit,
track,Mystery Mountain,progressive rock,progressive rock; jazz fusion; hard rock,130,multi-track audit,
track,Of a Lifetime,progressive rock,progressive rock; jazz fusion; hard rock,130,multi-track audit,
artist,The Streets,uk garage,uk garage; hip hop; uk hip hop,130,multi-track audit,
artist,Guano Apes,nu metal,nu metal; alternative rock; rap metal; post-grunge,130,multi-track audit,
artist,DIIV,shoegaze,shoegaze; dream pop; indie rock; post-punk,130,multi-track audit,
artist,The Cure,gothic rock,gothic rock; post-punk; new wave; alternative rock,130,multi-track audit,
artist,Captain Beyond,progressive rock,progressive rock; hard rock; heavy psych,130,multi-track audit,
artist,My Dying Bride,death-doom metal,death-doom metal; doom metal; gothic metal,130,multi-track audit,
artist,Saturnus,death-doom metal,death-doom metal; melodic doom metal; doom metal,130,multi-track audit,
artist,Biohazard,rap metal,rap metal; hardcore; crossover thrash,130,multi-track audit,
artist,Brendan Perry,neoclassical darkwave,neoclassical darkwave; world; folk; ambient,130,multi-track audit,
album,The Guitarist,classical guitar,classical guitar; classical,130,multi-track audit,
artist,3weekoldroses,alternative rock,alternative rock; indie rock,80,manual fallback,
artist,Angst Skvadron,black metal,black metal; avant-garde metal,80,manual fallback,
artist,Arc De Soleil,psychedelic rock,psychedelic rock; surf rock; instrumental rock,80,manual fallback,
artist,Ben Kenney,alternative rock,alternative rock; funk rock,80,manual fallback,
artist,Bernhard Joachim Hagen,classical,classical; lute,80,manual fallback,
artist,Björn Olsson,psychedelic rock,psychedelic rock; instrumental rock,80,manual fallback,
artist,Bossa Nova Covers,bossa nova,bossa nova; lounge,80,manual fallback,
artist,Bridge To Mars,hard rock,hard rock; progressive rock,80,manual fallback,
artist,Burning Shadows,heavy metal,heavy metal; power metal,80,manual fallback,
artist,Chained Saint,thrash metal,thrash metal; heavy metal,80,manual fallback,
artist,Coláiste Árainn Mhóir,irish folk,irish folk; folk,80,manual fallback,
artist,Den Stora Vilan,psychedelic rock,psychedelic rock; folk rock,80,manual fallback,
artist,Diane Hidy,classical,classical; piano,80,manual fallback,
artist,Diane Hidy & Keith Snell,classical,classical; piano,80,manual fallback,
artist,DJ Normal 4,breakbeat,breakbeat; electro; techno,80,manual fallback,
artist,Downface,alternative rock,alternative rock; post-grunge,80,manual fallback,
artist,Elyndrax,atmospheric black metal,atmospheric black metal; black metal,80,manual fallback,
artist,Fenriz Red Planet,heavy metal,heavy metal; hard rock,80,manual fallback,
artist,FERNDOM,dark ambient,dark ambient; neofolk,80,manual fallback,
artist,Genune,blackgaze,blackgaze; post-metal,80,manual fallback,
artist,Gilgareth,dungeon synth,dungeon synth; fantasy ambient,80,manual fallback,
artist,Gnostic,technical death metal,technical death metal; progressive metal,80,manual fallback,
artist,Golden Core,doom metal,doom metal; sludge metal,80,manual fallback,
artist,Golden Retriever,ambient,ambient; experimental,80,manual fallback,
artist,Gruesome Pledge,thrash metal,thrash metal; death metal,80,manual fallback,
artist,Gruzja,black metal,black metal; post-punk,80,manual fallback,
artist,Gryla,black metal,black metal,80,manual fallback,
artist,Highlonesome,alt-country,alt-country; americana,80,manual fallback,
artist,hodíla ízba,folk,folk; psychedelic folk,80,manual fallback,
artist,Iron Lamb,hard rock,hard rock; punk rock; heavy metal,80,manual fallback,
artist,JJ's Powerhouse,hard rock,hard rock,80,manual fallback,
artist,Kellermensch,alternative rock,alternative rock; post-hardcore,80,manual fallback,
artist,Kitka,folk,folk; vocal; world,80,manual fallback,
artist,kuyaagui,ambient,ambient; electronic,80,manual fallback,
artist,Lars Fredrik Frøislie,progressive rock,progressive rock; symphonic prog,80,manual fallback,
artist,Liljevars Brann,black metal,black metal; nordic folk,80,manual fallback,
artist,Lindy-Fay Hella,nordic folk,nordic folk; dark folk,80,manual fallback,
artist,Mark Sholtez,jazz,jazz; singer-songwriter,80,manual fallback,
artist,Mason Ruffner,blues rock,blues rock,80,manual fallback,
artist,MINUALA,folk,folk; dark folk,80,manual fallback,
artist,Nahemah,progressive metal,progressive metal; melodic death metal,80,manual fallback,
artist,Nerthus,black metal,black metal,80,manual fallback,
artist,never easy,shoegaze,shoegaze; alternative rock,80,manual fallback,
artist,Nine Covens,black metal,black metal,80,manual fallback,
artist,Ningen Isu,doom metal,doom metal; hard rock; heavy metal,80,manual fallback,
artist,Norrfjällen,atmospheric black metal,atmospheric black metal; black metal,80,manual fallback,
artist,Nosłeep,dungeon synth,dungeon synth; dark ambient,80,manual fallback,
artist,Oromet,funeral doom,funeral doom; doom metal,80,manual fallback,
artist,Parasite,heavy metal,heavy metal; hard rock,80,manual fallback,
artist,Petlya Pristrastiya,post-punk,post-punk; alternative rock,80,manual fallback,
artist,Psilocybe Larvae,melodic death metal,melodic death metal; gothic metal,80,manual fallback,
artist,Relapsed,hardcore,hardcore; punk,80,manual fallback,
artist,Robert Hood,techno,techno; minimal techno,80,manual fallback,
artist,Rome In Monochrome,doomgaze,doomgaze; post-metal,80,manual fallback,
artist,Romuvos,folk metal,folk metal; pagan metal,80,manual fallback,
artist,Screammet,heavy metal,heavy metal,80,manual fallback,
artist,Seth Chapla,instrumental rock,instrumental rock; guitar,80,manual fallback,
artist,Skogen Brinner,hard rock,hard rock; psychedelic rock,80,manual fallback,
artist,Speedclaw,speed metal,speed metal; heavy metal,80,manual fallback,
artist,Stalwart,death metal,death metal; progressive death metal,80,manual fallback,
artist,Sweet Ermengarde,gothic rock,gothic rock,80,manual fallback,
artist,tenndril,electronic,electronic; techno,80,manual fallback,
artist,Tentosy,electronic,electronic; synthwave,80,manual fallback,
artist,The Great Wight Dread,electronic,electronic; soundtrack,80,manual fallback,
artist,The Mayan Factor,alternative rock,alternative rock; progressive rock,80,manual fallback,
artist,Tiger Lou,indie rock,indie rock; alternative rock,80,manual fallback,
artist,TodoMal,doom metal,doom metal; gothic metal,80,manual fallback,
artist,Ukć,post-rock,post-rock; blackgaze,80,manual fallback,
artist,Unni Løvlid,nordic folk,nordic folk; vocal,80,manual fallback,
artist,VED,psychedelic rock,psychedelic rock; krautrock,80,manual fallback,
artist,Vehje,nordic folk,nordic folk; folk,80,manual fallback,
artist,VHS Dreams,synthwave,synthwave; electronic,80,manual fallback,
artist,Viral,thrash metal,thrash metal; heavy metal,80,manual fallback,
artist,Vjaceslav Grochovskij,classical,classical; folk,80,manual fallback,
artist,Windows 96,vaporwave,vaporwave; synthwave,80,manual fallback,
artist,Yersin,hardcore,hardcore; crust punk,80,manual fallback,
artist,Ермак!,folk rock,folk rock; russian rock,80,manual fallback,
artist,Мужской вокальный ансамбль «Валаам»,choral,choral; orthodox chant; classical,80,manual fallback,
artist,40 Watt Sun,slowcore,slowcore; post-rock; alternative rock; doom metal,120,multi-track audit,
artist,Agalloch,atmospheric black metal,atmospheric black metal; folk metal; doom metal; black metal; post-metal,120,multi-track audit,
artist,Besvärjelsen,stoner doom,stoner doom; doom metal; stoner rock; psychedelic rock,120,multi-track audit,
artist,Daevar,stoner doom,stoner doom; doom metal; grunge; heavy psych,120,multi-track audit,
album,Polar Veil,black metal,black metal; folk rock; psychedelic rock; avant-garde black metal,125,multi-track audit,
album,When We Are Death,psychedelic folk rock,psychedelic folk rock; folk rock; psychedelic rock,125,multi-track audit,
artist,Lowen,progressive doom,progressive doom; doom metal; middle eastern folk; progressive metal,120,multi-track audit,
artist,Monolord,stoner doom,stoner doom; doom metal; stoner metal; psychedelic rock,120,multi-track audit,
artist,My Dying Bride,doom metal,doom metal; gothic metal; death-doom metal,120,multi-track audit,
lead_artist_id,6UCGlnMvvNd2v8M7QLoi3L,heavy doom metal,heavy doom metal; doom metal; heavy metal; traditional doom metal; stoner doom,130,Norwegian Obscure on On Formaldehyde rather than the Spanish death-metal namesake; the review identifies heavy and doom elements while finer secondary tags remain legacy | https://metal-temple.com/review/obscure-on-formaldehyde/,
artist,Panopticon,atmospheric black metal,atmospheric black metal; black metal; americana; bluegrass; contemporary folk,120,multi-track audit,
artist,Primordial,pagan metal,pagan metal; celtic metal; black metal; folk metal,120,multi-track audit,
artist,Sleep,stoner doom,stoner doom; stoner metal; doom metal; stoner rock,120,multi-track audit,
lead_artist_id,0ulKlNlo0iPx5ZS6VMTHWQ,death-doom metal,death-doom metal; doom metal; melodic death metal,120,Legacy Swallow The Sun default; scoped to lead Spotify ID on 2026-09-22; release exceptions take precedence; not independently verified for every future recording,
artist,Windhand,stoner doom,stoner doom; doom metal; stoner metal; psychedelic rock,120,multi-track audit,
artist,Clark,idm,idm; electronic; glitch,120,2026-09-23 artist-level confirmation: Clark's own Steep Stims description explicitly uses IDM and electronic; glitch secondary is not verified for every release | https://clark.bandcamp.com/album/steep-stims,
artist,Carbon Based Lifeforms,psybient,psybient; ambient; downtempo; chill-out; electronic,120,multi-track audit,
album,Enclosed,psychedelic rock,psychedelic rock; blues rock; rock,125,multi-track audit,
artist,Brendan Perry,ambient,ambient; downtempo; neoclassical darkwave; world; folk,120,multi-track audit,
album,Lustuz Laþu Wōþuz Alu,dark folk,nordic folk; dark folk; world; ambient; experimental,125,multi-track audit,
artist,Hewer of Caves,dungeon synth,dungeon synth; medieval ambient; fantasy ambient; ambient,120,multi-track audit,
artist,Flickers from the Fen,dungeon synth,dungeon synth; comfy synth; fantasy synth; ambient,120,multi-track audit,
album,Harvest Songs and Rituals,dungeon synth,dungeon synth; ambient; folktronica; dark folk,125,multi-track audit,
artist,The Derek Trucks Band,blues rock,blues rock; jam band; southern rock; jazz fusion; soul,120,multi-track audit,
artist,Wishbone Ash,progressive rock,progressive rock; hard rock; folk rock; blues rock; art rock,120,multi-track audit,
artist,Phantogram,indietronica,indietronica; trip hop; electronic; indie pop; electropop,120,multi-track audit,
artist,Sweven,progressive death metal,progressive death metal; psychedelic death metal; progressive metal,120,multi-track audit,
artist,High Priest of Saturn,stoner doom,stoner doom; psychedelic rock; doom metal,120,multi-track audit,
artist,Svanfríður,progressive rock,progressive rock; heavy psych; hard rock,120,multi-track audit,
lead_artist_id,2jkl2xJVm71azWAgZKyf42,post-punk,post-punk; new wave; russian rock,120,Viktor Tsoi's Kino rather than the British prog namesake; Apple Music describes the band's post-punk sound while secondary tags remain legacy | https://music.apple.com/us/playlist/%D0%BA%D0%B8%D0%BD%D0%BE-%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%BE%D0%B5/pl.978b9e3b4d6d4df58d00f3807cde1048?l=ru,
artist,Vanhelga,depressive black metal,depressive black metal; black metal; rock,120,multi-track audit,
artist,Puke,hardcore punk,hardcore punk; punk,120,multi-track audit,
artist,T.S.O.L.,hardcore punk,hardcore punk; punk rock; deathrock,120,multi-track audit,
artist,Testors,punk rock,punk rock; proto-punk; garage punk,120,multi-track audit,
artist,Vanilla Fudge,psychedelic rock,psychedelic rock; acid rock; hard rock; proto-prog,120,multi-track audit,
artist,Raketkanon,noise rock,noise rock; sludge metal; post-hardcore; experimental rock,120,multi-track audit,
artist,Sakis Tolis,gothic metal,gothic metal; black metal; melodic death metal,120,multi-track audit,
artist,Atoma,post-metal,post-metal; post-rock; ambient rock; atmospheric metal,120,multi-track audit,
artist,Counting Hours,melodic doom metal,melodic doom metal; death-doom metal; gothic metal,120,multi-track audit,
track_id,0jYQ2uSEPYIQZBPZqqhZp3,neofolk,neofolk; dark folk,300,2026-09-22 review: :Of The Wand And The Moon: / Lucifer | primary classification retained after source review; secondary tags not independently verified | https://ofthewandandthemoon.bandcamp.com/album/sonnenheim-2 | https://ofthewandandthemoon.bandcamp.com/,
track_id,6OKPUhEborqvbJvjO8xFFI,sludge metal,sludge metal; post-hardcore; post-metal; doom metal; sludge,300,2026-09-22 review: Amenra / Mass Iiii | primary classification retained after source review; secondary tags not independently verified | https://www.metal1.info/metal-reviews/amenra-mass-iiii/,
track_id,44C6FtOWJVhNdCxCiJtAPv,art rock,art rock; folk rock; jazz rock; russian rock; avant-folk,300,2026-09-22 review: Auktyon / Жопа | primary classification retained after source review; secondary tags not independently verified | https://open.spotify.com/intl-tr/artist/7pUNFHEe0MlfvvDG1dXH3m | https://en.wikipedia.org/wiki/Auktyon,
track_id,1lXMWBKvO3AtoFPPOVj5ML,art rock,art rock; folk rock; jazz rock; russian rock; avant-folk,300,2026-09-22 review: Auktyon / Как я стал предателем | primary classification retained after source review; secondary tags not independently verified | https://open.spotify.com/intl-tr/artist/7pUNFHEe0MlfvvDG1dXH3m | https://en.wikipedia.org/wiki/Auktyon,
track_id,4okYZwG2w0XKRs77OyriGP,art rock,art rock; folk rock; jazz rock; russian rock; avant-folk,300,2026-09-22 review: Auktyon / Как я стал предателем | primary classification retained after source review; secondary tags not independently verified | https://open.spotify.com/intl-tr/artist/7pUNFHEe0MlfvvDG1dXH3m | https://en.wikipedia.org/wiki/Auktyon,
track_id,2JROvhj6nAjMJKG2421VCK,art rock,art rock; folk rock; jazz rock; russian rock; avant-folk,300,2026-09-22 review: Auktyon / Птица | primary classification retained after source review; secondary tags not independently verified | https://open.spotify.com/intl-tr/artist/7pUNFHEe0MlfvvDG1dXH3m | https://en.wikipedia.org/wiki/Auktyon,
track_id,0lznmOabve1al78GuyMkc4,art rock,art rock; folk rock; jazz rock; russian rock; avant-folk,300,2026-09-22 review: Auktyon / Птица | primary classification retained after source review; secondary tags not independently verified | https://open.spotify.com/intl-tr/artist/7pUNFHEe0MlfvvDG1dXH3m | https://en.wikipedia.org/wiki/Auktyon,
track_id,3CSpzkoL1XgDBZ1q9aDCUV,doo-wop,doo-wop; pop rock; pop soul,300,2026-09-22 review: Billy Joel / The Essential Billy Joel | primary classification retained after source review; secondary tags not independently verified | https://en.wikipedia.org/wiki/Uptown_Girl | https://www.billyjoel.com/song/uptown-girl-4/,
track_id,5sbw5zIz9ck2pOEDXUR0QU,son cubano,son cubano; traditional Cuban; latin,300,2026-09-22 review: Buena Vista Social Club / Buena Vista Social Club | primary classification retained after source review; secondary tags not independently verified | https://www.worldcircuit.co.uk/artists/buena-vista-social-club/ | https://www.buenavistasocialclub.com/albums/buena-vista-social-club/,
track_id,0q7UiPCcSoFltcvsvaDSOX,black metal,black metal; dungeon synth; atmospheric black metal; dark ambient; ambient black metal,300,2026-09-22 review: Burzum NEW / The Mound of Fire | primary classification retained after source review; secondary tags not independently verified | https://www.burzum.org/eng/discography/official/2025_the_mound_of_fire.shtml | https://burzum.org/eng/discography/official/2025_what_will_come.shtml | https://www.last.fm/music/Burzum/What%20Will%20Come (official release identity and recording-specific community tags),
track_id,0mttNIHIq7c0z643lBYwhm,black metal,black metal; dungeon synth; atmospheric black metal; dark ambient; ambient black metal,300,2026-09-22 review: Burzum NEW / What will come | primary classification retained after source review; secondary tags not independently verified | https://www.burzum.org/eng/discography/official/2025_the_mound_of_fire.shtml | https://burzum.org/eng/discography/official/2025_what_will_come.shtml | https://www.last.fm/music/Burzum/What%20Will%20Come (official release identity and recording-specific community tags),
track_id,4BHhJ5lU7B6O7AoTB59LEX,speed metal,speed metal; rock; thrash metal; death metal; black metal,300,2026-09-22 review: BÜTCHER / 666 Goats Carry My Chariot | primary classification retained after source review; secondary tags not independently verified | https://osmoseproductions.bandcamp.com/album/666-goats-carry-my-chariot,
track_id,4mYZuC2hzt4K307VcPHwjH,post-bop,post-bop; contemporary jazz; nu jazz,300,2026-09-22 review: Christian Scott aTunde Adjuah / Anthem | primary classification retained after source review; secondary tags not independently verified | https://concord.com/concord-albums/christian-scott-anthem/ (modern jazz family confirmed; post-bop retained as existing finer label),
track_id,6Q3hLAsdCLFKvVBuj7mLs1,post-bop,post-bop; contemporary jazz; nu jazz,300,2026-09-22 review: Christian Scott aTunde Adjuah / Anthem | primary classification retained after source review; secondary tags not independently verified | https://concord.com/concord-albums/christian-scott-anthem/ (modern jazz family confirmed; post-bop retained as existing finer label),
track_id,6MMOGw03jPe3J8z4DqlbGO,psychobilly,psychobilly,300,2026-09-22 review: Demented Are Go / Hellucifernation | primary classification retained after source review; secondary tags not independently verified | https://en.wikipedia.org/wiki/Demented_Are_Go,
track_id,3NLNi9kG2mrDVO3HDUzmF9,psychobilly,psychobilly,300,2026-09-22 review: Demented Are Go / The Best Of... (2004 Version) | primary classification retained after source review; secondary tags not independently verified | https://en.wikipedia.org/wiki/Demented_Are_Go,
track_id,0YC1SrY8urb9sbwcUj3MaK,psychobilly,psychobilly,300,2026-09-22 review: Demented Are Go / Welcome Back To Insanity Hall | primary classification retained after source review; secondary tags not independently verified | https://en.wikipedia.org/wiki/Demented_Are_Go,
track_id,3wa3Weotu81VcL3wGqxh7f,progressive metal,progressive metal; progressive rock; ambient; progressive; post-metal,300,2026-09-22 review: Devin Townsend Band / Accelerated Evolution | primary classification retained after source review; secondary tags not independently verified | https://devintownsend.bandcamp.com/album/accelerated-evolution | https://hevydevy.com/discography/accelerated-evolution/,
track_id,3LHda8vKJRDhOL6wNtp9XI,progressive metal,progressive metal; progressive rock; ambient; progressive; post-metal,300,2026-09-22 review: Devin Townsend Band / Accelerated Evolution | primary classification retained after source review; secondary tags not independently verified | https://devintownsend.bandcamp.com/album/accelerated-evolution | https://hevydevy.com/discography/accelerated-evolution/,
track_id,7JuqNiRZcLsPqa33eMFwyP,jazz-funk,jazz-funk; jazz fusion; funk; soul; disco; r&b,300,2026-09-22 review: Dexter Wansel / Life on Mars | primary classification retained after source review; secondary tags not independently verified | https://www.allmusic.com/album/mw0000964191,
track_id,7e3X68cctVmvsQFRKKAj8c,singer-songwriter,singer-songwriter; jazz; electronica; worldbeat; medieval,300,"2026-09-22 review: Eivør / Segl Live in Concert (Live at Nordic House, Faroe Islands, Sep 2020) | primary classification retained after source review; secondary tags not independently verified | https://eivor.bandcamp.com/track/stirdur-saknur (broad singer-songwriter label retained for live rendition; studio release described as electro folk pop)",
track_id,6hXdDxSd0GsRIRgkVLbuzx,hard rock,hard rock; heavy metal; speed metal; rock and roll,300,2026-09-22 review: FLY! / Bowie Knife | primary classification retained after source review; secondary tags not independently verified | https://dyingvictimsproductions.bandcamp.com/album/or-die,
track_id,2oSurc3FKyPDaoVpdbb1N9,psychedelic funk,psychedelic funk; neo-psychedelia; psychedelic rock; psychedelic jazz; world fusion; krautrock,300,2026-09-22 review: Glass Beams / Mirage | primary classification retained after source review; secondary tags not independently verified | https://glassbeams.bandcamp.com/album/mirage (primary label retained within the release's psych / Indian / disco fusion),
track_id,71W0xiGpPZchQF4M3QUVwu,alt-country,alt-country; alternative rock; folk rock; country rock; americana,300,2026-09-22 review: Grant Lee Buffalo / Live At the Royal Festival Hall | primary classification retained after source review; secondary tags not independently verified | https://en.wikipedia.org/wiki/Grant_Lee_Buffalo (broad artist style; live arrangement not independently classified),
track_id,1Si3Uo5rPF85YbtoNvwWaY,siberian punk,siberian punk; punk rock; psychedelic rock; noise rock; garage rock,300,"2026-09-22 review: Grazhdanskaya Oborona / The Best, Pt. 2 | primary classification retained after source review; secondary tags not independently verified | https://ru.wikipedia.org/wiki/Гражданская_оборона_(группа) (broad Siberian punk scene label retained; these recordings also carry psychedelic rock)",
track_id,1MNoaPv7HGoYbZfeAbzPVZ,siberian punk,siberian punk; psychedelic rock; punk rock,300,"2026-09-22 review: Grazhdanskaya Oborona / The Best, Pt. 2 | primary classification retained after source review; secondary tags not independently verified | https://ru.wikipedia.org/wiki/Гражданская_оборона_(группа) (broad Siberian punk scene label retained; these recordings also carry psychedelic rock)",
track_id,1ZKzq94JUCdB7gJNChmJ8F,blues rock,blues rock,300,"2026-09-22 review: James Luther Dickinson / I'm Just Dead, I'm Not Gone | primary classification retained after source review; secondary tags not independently verified | https://www.normanrecords.com/records/158451-james-luther-dickinson-north-mississippi-im-just-dead-im-not",
track_id,533kRGcnzayZm0wOn4TI3J,singer-songwriter,singer-songwriter; rock and indie,300,2026-09-22 review: Joan As Police Woman / Real Life | primary classification retained after source review; secondary tags not independently verified | https://www.musicglue.com/joan-as-police-woman/about (broad singer-songwriter label retained; soul influences confirmed),
track_id,1bdwq9uYcFg3VuH8hRuKtn,singer-songwriter,singer-songwriter; rock and indie,300,2026-09-22 review: Joan As Police Woman / The Deep Field | primary classification retained after source review; secondary tags not independently verified | https://www.musicglue.com/joan-as-police-woman/about (broad singer-songwriter label retained; soul influences confirmed),
track_id,0maHapexDOaOjaoZ0Yvo63,russian rock,russian rock; singer-songwriter; acoustic rock; bard rock,300,2026-09-22 review: Konstantin Nikolsky / Мне только снится жизнь моя | primary classification retained after source review; secondary tags not independently verified | https://ru.wikipedia.org/wiki/Мне_только_снится_жизнь_моя,
track_id,7o78fAVjxA1TpRtAtV5w5w,alternative rock,alternative rock; folk rock; pop rock,300,2026-09-22 review: Manna / Sister | primary classification retained after source review; secondary tags not independently verified | https://www.allmusic.com/album/sister-mw0001596269 | https://music.apple.com/us/song/454694863 (Pop/Rock family and Finnish performer confirmed; finer existing label retained),
track_id,1rPbbNTiHpZQdmgTczywVN,electro metal,electro metal; trip hop; progressive metal; rock,300,2026-09-22 review: Naïve / The End | primary classification retained after source review; secondary tags not independently verified | https://naive.bandcamp.com/album/the-end | https://naive.bandcamp.com/album/remixes,
track_id,2mudgghqD6tEuUwMCJvXlc,krautrock,krautrock; progressive rock; psychedelic rock; hard rock; jazz rock,300,2026-09-22 review: Nosferatu / Krautrock Essentials | primary classification retained after source review; secondary tags not independently verified | https://www.allmusic.com/album/nosferatu-mw0000839183,
track_id,4H0CetjSTGodZdf8IwE88T,rock,rock; jazz; experimental; avant-garde,300,2026-09-22 review: Omar Rodríguez-López Quintet / The Apocalypse Inside Of An Orange | primary classification retained after source review; secondary tags not independently verified | https://en.wikipedia.org/wiki/The_Apocalypse_Inside_of_an_Orange (broad rock label retained; jazz fusion and psychedelic rock album),
track_id,5t3w2oRxvGqkzrz5m4fMMm,gothic rock,gothic rock; post-punk; goth rock; hard rock; electronic,300,2026-09-22 review: Sisters of Mercy / Some Girls Wander by Mistake | primary classification retained after source review; secondary tags not independently verified | https://www.rhino.com/article/now-available-the-sisters-of-mercy-some-girls-wander-by-mistake,
track_id,7egYV3kDFiYw09fwnaCI9i,gothic rock,gothic rock; post-punk; goth rock; hard rock; electronic,300,2026-09-22 review: Sisters of Mercy / Some Girls Wander by Mistake | primary classification retained after source review; secondary tags not independently verified | https://www.rhino.com/article/now-available-the-sisters-of-mercy-some-girls-wander-by-mistake,
track_id,41YXZ3medfYHpNpjTXrmAm,gothic rock,gothic rock; post-punk; goth rock; hard rock; electronic,300,2026-09-22 review: Sisters of Mercy / Some Girls Wander by Mistake | primary classification retained after source review; secondary tags not independently verified | https://www.rhino.com/article/now-available-the-sisters-of-mercy-some-girls-wander-by-mistake,
track_id,7sesNXHb5NdVXmCtm6f9qo,world fusion,world fusion; jazz; instrumental,300,2026-09-22 review: Soulfly / Ritual | primary classification retained after source review; secondary tags not independently verified | https://www.kerrang.com/max-cavalera-soulfly-track-by-track (instrumental fusion confirmed by composer; this recording is not the album's usual metal style),
track_id,6qoM5rqwYkAej4xuREtKa4,afrobeat,afrobeat; funk; soul; jazz; psychedelic rock,300,2026-09-22 review: The Budos Band / V | primary classification retained after source review; secondary tags not independently verified | https://thebudosband.bandcamp.com/album/the-budos-band-v (Ethiopian rhythms / afro-soul / fuzz rock fusion; existing primary retained),
track_id,0ZrDGDbnwW5WPXNMamfkRH,black metal,black metal,300,2026-09-22 review: Weald & Woe / Blood Upon the Blade | primary classification retained after source review; secondary tags not independently verified | https://wealdandwoe.bandcamp.com/album/far-from-the-light-of-heaven,
track_id,4pG41oVPVexrDlwnvT2xtt,psychedelic rock,psychedelic rock; folk rock; progressive rock; blues rock,300,2026-09-22 review: Wolf People / Ruins | primary classification retained after source review; secondary tags not independently verified | https://jagjaguwar.com/release/JAG279/,
track_id,2CBLNXy6B72bp1jZC9ksGS,blackened doom metal,blackened doom metal; heavy metal; psychedelic rock,300,2026-09-22 audit: Behrosth / Liquid Midnight | https://behrosth.bandcamp.com/album/liquid-midnight,
